_id,Geographic Area Served,Asset Name,Type of Entity,Digital Equity Pillars,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,Description of Services,Website,Street Address
23,Hawaii,Kau High and Pahala Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://www.khpes.org/,"96-3150 Pikake Street, Pahala, HI 96777"
24,Hawaii,Kau Learning Academy,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,TBD ,"94-1581 Kaulua Circle, Naalehu, HI 96772"
25,Hawaii,Kaumana Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.kaumanaelementary.org/,"1710 Kaumana Drive, Hilo, HI 96720"
26,Hawaii,Ke Ana Laahana PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.kalpcs.com/,"162 Baker Avenue, Hilo, HI 96720"
27,Hawaii,Ke Kula 'o Nawahiokalani'opu'u Iki Laboratory PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://www.nawahi.org/,"16-120 Opukahaia Street Suite 2, Keaau, HI 96749"
28,Hawaii,Ke Kula O Ehunuikaimalino,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://ehunui.org/,"81-1041 Konawaena School Road, Kealakekua, HI 96750"
29,Hawaii,Keaau Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://sites.google.com/k12.hi.us/keaauel/home,"16-680 Keaau-Pahoa Road, Keaau, HI 96749"
30,Hawaii,Keaau High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://www.keaauhs.com/,"16-725 Keaau-Pahoa Road, Keaau, HI 96749"
31,Hawaii,Keaau Middle,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://www.keaaumiddle.org/,"16-565 Keaau-Pahoa Road, Keaau, HI 96749"
32,Hawaii,Keaau Public and School Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"16-571 Keaau Pahoa Rd, Keaau, HI 96749, United States"
