_id,Geographic Area Served,Asset Name,Type of Entity,Digital Equity Pillars,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,Description of Services,Website,Street Address
91,Kauaʻi,Kapaa Middle,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.kapaamiddleschool.org,"4867 Olohena Road, Kapaa, HI 96746"
92,Kauaʻi,Kapaa Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"4-1464 Kuhio Hwy, Kapa ªa, HI 96746, USA"
93,Kauaʻi,Kauaʻi Bus,County Agency,Broadband Availability,1,1,1,1,1,1,1,1,1,Free Wi-Fi access to riders for 2 hours each day. Certain bus stops equipped with free public Wi-Fi.,https://www.Kauaʻi.gov/Government/Departments-Agencies/Transportation/Bus-Schedules,"County of Kauaʻi
4444 Rice Street
Lihue, HI  96766"
94,Kauaʻi,Kauaʻi Community Correctional Center,Correctional Facility,Device Availability & Affordability,,,1,,,,,1,,"GettingOut is a prepaid service that provides inmates with tablets that allows them to have secure video visit option for approved visitors to connect more frequently and personally, which helps boost morale, increase positive behavior, and strengthens relationships; also provides more access to content such as education, career and technical training, messaging, photo sharing, and multimedia content; Intake center provides guidance to post-incarcerated re re-entry into community.",,"3-5351 Kuhio Highway
Lihue, HI 96766"
95,Kauaʻi,Kauaʻi Digital Equity Coalition,County Initiative,Broadband Availability & Affordability; Digital Navigators; Online Privacy & Cybersecurity; Digital LIteracy; Device Availability & Affordability,1,1,1,1,1,1,1,1,1,"A coalition of Kauaʻi partners who strive to bridge the digital divide within the community, creating an island-wide network of of partners committed to achieving digital equity within the lāhui (community).",www.kedb.com,"9565 Kaumualii Highway
Waimea, HI 96796"
96,Kauaʻi,Kauaʻi Economic Development Board,Non-profit,Digital Literacy,x,x,x,x,x,x,x,1,x,"Digital literacy training for employees and the public; Intermediate (Google suite, commonly used platforms). KDEC member.",www.kedb.com,"9565 Kaumualii Highway, Waimea, HI 96796"
97,Kauaʻi,Kauaʻi High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.kauaihigh.org,"3577 Lala Road, Lihue, HI 96766"
98,Kauaʻi,Kauaʻi Neighborhood Centers Internet Access,,Broadband Availability & Affordability,,,,,,,,x,,Existing neighborhood centers throughout Kauaʻi all provide free public Wifi access in efforts to improve digital equity. ,,
99,Kauaʻi,Kauaʻi Veterans Council,,Digital Literacy,x,x,x,1,x,x,x,x,x,"gatherig space for the Veteran community; provides conference rooms, event rooms, workforce development, and training to Veterans. ",https://www.Kauaʻiveteranscenter.org,"3215 Kauaʻi Veterans Memorial Highway
Lihue, HI  96766"
100,Kauaʻi,Kaumualii Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.kaumualii.k12.hi.us,"4380 Hanamaulu Road, Lihue, HI 96766"
101,Kauaʻi,Kawaikini NCPCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://kawaikini.com,"3-1821 J Kaumualii Hwy, Lihue, HI 96766"
102,Kauaʻi,Ke Kula Niihau O Kekaha LPCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,http://www.kknok.org,"8135 Kekaha Road, Kekaha, HI 96752"
103,Kauaʻi,Kekaha Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.kekahaschool.k12.hi.us,"8140 Kekaha Road, Kekaha, HI 96752"
104,Kauaʻi,Kilauea Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.kilaueaschool.k12.hi.us,"2440 Kolo Road, Kilauea, HI 96754"
105,Kauaʻi,Koloa Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.koloaes.k12.hi.us,"3223 Poipu Road, Koloa, HI 96756"
106,Kauaʻi,Koloa Public and School Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"3451 Poipu Road, Koloa, HI 96756, United States"
107,Kauaʻi,Kula Aupuni Niihau PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.kanakapcs.org,"8315 Kekaha Road Suite P, Kekaha, HI 96752"
108,Kauaʻi,Life's Choices Kauaʻi ,County Agency,,x,,1,,,,,x,,"Lifes Choices Kauaʻi empowers their community to be drug free. They offer support programs including a resource center, professional development, workforce trainings, and other coordinated activities.","Life's Choices Kauaʻi - Kauaʻi County, HI","County of Kauaʻi, Office of the Prosecuting Attorney
3990 Kāʻana Street, Suite 210
Līhuʻe, HI 96766"
109,Kauaʻi,Lihue Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"4344 Hardy St, Lihue, HI 96766, United States"
110,Kauaʻi,Mental Health Kōkua,Non-profit,"Access, Digital Literacy, Assistance",x,,1,,x,,,x,,"This statewide nonprofit assists individuals overcoming serious mental illness with returning to a productive life. Services include case management, housing, psychiatry, and other support programs to help them restart a productive and independent life. ",https://www.mhkhawaii.org/,"1221 Kapiolani Boulevard

Suite 345
Honolulu, HI 96814"
111,Kauaʻi,Princeville Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"4343 Emmalani Dr, Princeville, HI 96722, United States"
112,Kauaʻi,State of Hawaii Department of Vocational Rehabilitation - Kauaʻi Branch,State Agency,Device Availability & Affordability; Broadband Availability; Digital Literacy,x,,x,x,1,x,,x,x,"Program for persons with disabilities who require assistance to prepare for, secure, retain or regain employment. Provides a rehabilitation worker who specializes in job training and job placement. May provide assistive technology and training depending on the skills needed for employment.",https://humanservices.hawaii.gov/vr/contact-vr/,"3060 Eiwa St., #304
Lihue, HI 96766-1877 "
113,Kauaʻi,Waimea Canyon Middle,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.waimeacanyonms.org,"9555 Huakai Road, Waimea, HI 96796"
114,Kauaʻi,Waimea High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.waimeahigh.org,"9707 Tsuchiya Road, Waimea, HI 96796"
115,Kauaʻi,Waimea Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"9750 Kaumualii Hwy, Waimea, HI 96796, USA"
116,Kauaʻi,Wilcox Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kapaa-Kauaʻi-Waimea complex area.,https://www.wilcox.k12.hi.us,"4319 Hardy Street, Lihue, HI 96766"
117,Kauaʻi,Women In Need,Non-profit,,1,,1,,,x,x,x,x,"This nonprofit empowers women to restart an independent and productive life by helping clients develop life skills through workforce development, case management services, and community resource support for community programs. ",https://winhi.org/,"3136 Elua Street
Lihue, HI 96766"
118,"Kauaʻi, Maui, Oʻahu",Hawaii and Pacific Basin Area Health Education Center,Higher Education,,x,,,,,,,1,1,"Supports travel and housing costs for students to perform training throughout their college career, supports distance learning activities and telehealth utilization (video teleconferencing).",https://www.ahec.hawaii.edu/,"University of Hawaii at Mānoa John A. Burns School of Medicine
651 Ilalo, Medical Education Building, Room 224
Honolulu, HI 96813-5525"
119,"Kauaʻi, Niʻihau (Online)",Kauaʻi Community College,Higher Education,Broadband Availability; Device Availability; Digital Literacy,x,x,x,x,x,x,x,1,x,"Internet or computer access at your location, Entry-level (basic skills and software/hardware introduction), Intermediate (Google suite, commonly used platforms), Advanced (coding, website/graphic design, video editing), Specialized (e.g. UX/UI design, AI, GIS, industry specific programs)",http://kauai.hawaii.edu/,"3-1901 Kaumualii Highway
Lihue, HI 96766"
120,"Kauaʻi, Oʻahu","Housing Solutions, Inc.",Housing Provider,Broadband Availability & Affordability; Device Availability; Digital Navigators,1,x,x,x,x,x,x,x,x,Affordable housing provider. Provides free broadband at two locations. Property managers assist residents with digital navigation.,https://hsiservices.net/,"PO Box 11360 
Honolulu, HI 96828"
121,Lānaʻi,Lānaʻi Community Health Center,Health Center,Digital Literacy,x,x,x,x,x,x,x,x,x,"A federally qualified health center that provides primary care, vision, dental, and behavioral health services.",https://Lānaʻihealth.org/,"333 Sixth Street
Lānaʻi City, HI 96763"
122,Lānaʻi,Lānaʻi High and Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://lanaihighandelementaryschool.org,"555 Fraser Avenue, Lānaʻi City, HI 96763"
123,Lānaʻi,Lānaʻi Public and School Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"555 Fraser Ave, Lānaʻi City, HI 96763, United States"
124,Lānaʻi,Pūlama Lānaʻi ,Private,"Broadband Availability, Device Availability",x,x,,,,x,x,1,x,Primary employer on the island. Provides access to computers and the Internet for 800 employees. New affordable housing project is WiFi-enabled.,https://pulamaLānaʻi.com/,"1311 Fraser Avenue
Lānaʻi City, HI 96763"
125,Lānaʻi,United Church of Christ,Church,"Broadband Availability, Device Availability",1,x,,x,,1,1,1,,Open public Wi-Fi. Laptops available to members of the congregation.,https://www.ucc.org/church/Lānaʻi-union-ucc/,"751 Fraser Avenue
Lānaʻi City, HI 96763"
126,Maui, Akakū: Maui Community Television,Non-profit,Broadband Availability; Digital Literacy; potential CAI,1,1,1,1,1,1,1,1,1,"Public, Educational, and Governmental (PEG) access non-profit organization that provides an avenue to create and cableast community access, educational, and governmental video content on cable TV.  Offers workshops to advance digital literacy skills in video production. Also disseminates information through newsletter.",https://www.akaku.org/,"333 Dairy Rd. Ste 104                   Kahului, HI  96732"
127,Maui,Baldwin High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.baldwin.k12.hi.us,"1650 Kaahumanu Avenue, Wailuku, HI 96793"
128,Maui,Haiku Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.haikuschoolriders.org,"105 Pauwela Road, Haiku, HI 96708"
129,Maui,Hana Business Council,Private,Broadband Availability & Affordability; Device Availability; Digital Navigators; Outreach & Awareness,x,x,,x,,x,,1,x,"Convenes businesses and stakeholders of the Hana district to discuss pertinent issues. Builds awareness regarding opportunities pertinent to digital literacy. Formed Broadband Subcommittee to regain Internet service when shut down. Motivated, knowledgable members able to dedicate time and effort to assist residents with tech support.",www.hanamaui.com,Hana
130,Maui,Hana Health Center,Health Center,Broadband Availability,1,1,1,1,1,1,1,1,,Telehealth. Baseline data collected in Community Needs Assessment,https://hanahealth.org/about-us/contact-us/,"4590 Hāna Highway
Hana, HI 96713"
131,Maui,Hana High and Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://www.hanak12school.org,"4111 Hana Highway, Hana, HI 96713"
132,Maui,Hana Public and School Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"4111 Hana Hwy, Hana HI 96713, United States"
133,Maui,HandsOn Maui,County Agency,Broadband Availability,x,x,x,x,x,x,x,x,x,Offers telehealth visits with healthcare providers. They help residents schedule telehealth appointments. ,https://handsonmaui.galaxydigital.com/,"200 S High Street
Wailuku, HI 96793"
134,Maui,Iao Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.iaoschool.org,"260 South Market Street, Wailuku, HI 96793"
135,Maui,J. Walter Cameron Center,Non-profit,Device Availability & Affordability; Digital Literacy,1,x,x,x,x,x,x,x,x,"Provides space to host digital literacy classes and device distribution, among several health organizations. The Laptop Relief Program is a lifeline for those affected by recent disasters, offering the gift of connectivity and empowerment. Provides laptops to individuals and families who have lost everything, helping them rebuild their lives, seek employment, and stay connected to their support networks.",https://www.jwcameroncenter.org/,"95 Mahalani Street
Wailuku, HI 96793"
136,Maui,Kahului Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://kahuluischool.k12.hi.us,"410 South Hina Avenue, Kahului, HI 96732"
137,Maui,Kahului Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"90 School St, Kahului, HI 96732, United States"
138,Maui,Kalama Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.kalama.k12.hi.us,"120 Makani Road, Makawao, HI 96768"
139,Maui,Kamalii Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://kamaliischool.org,"180 Alanui Kealii Dr, Kihei, HI 96753"
140,Maui,Kamehameha III Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://www.kkiii.org,"611 Front Street, Lahaina, HI 96761"
141,Maui,Kaunoa Senior Center,County Agency,Digital Literacy,x,1,,,,x,,x,x,Affordable computer classes offered to seniors and customized based on their needs and preferences. ,https://www.mauicounty.gov/254/Kaunoa-Senior-Services,"788 Pauoa Street
Lahaina, HI 96761"
142,Maui,Kekaulike High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://sites.google.com/kkhs.k12.hi.us/kingkekaulike,"121 Kula Highway, Pukalani, HI 96768"
143,Maui,Kihei Charter School,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://kiheicharter.org,"650 Lipoa Pkwy, Kihei, HI 96753"
144,Maui,Kihei Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.kiheielementary.org,"250 E. Lipoa Street, Kihei, HI 96753"
145,Maui,Kihei Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"35 Waimahaihai St, Kihei, HI 96753, United States"
146,Maui,Kula Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.kulael.k12.hi.us,"5000 Kula Highway, Kula, HI 96790"
147,Maui,Lahaina Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://hi02225532.schoolwires.net,"871 Lahainaluna Road, Lahaina, HI 96761"
148,Maui,Lahaina Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"680 Wharf St, Lahaina, HI 96761, United States"
149,Maui,Lahainaluna High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://www.lahainalunahs.org,"980 Lahainaluna Road, Lahaina, HI 96761"
150,Maui,Lihikai Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.lihikaielementary.k12.hi.us,"335 South Papa Avenue, Kahului, HI 96732"
151,Maui,Lokelani Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.lokelani.k12.hi.us,"1401 Liloa Drive, Kihei, HI 96753"
152,Maui,Makawao Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.makawao.k12.hi.us,"3542 Baldwin Avenue, Makawao, HI 96768"
153,Maui,Makawao Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"1159 Makawao Ave, Makawao, HI 96768, United States"
154,Maui,Maui Behavioral Health Resources,Non-profit,Broadband Availability; Device Availability,1,,1,,x,x,x,x,x,Provides computers and Internet access to support clients' telehealth needs.,https://mbhr.org/about-malama-family-recovery-center/,"388 Ano Street
Kahului, HI 96732"
155,Maui,Maui Community Health Center,Health Center,Digital Literacy,x,x,x,x,x,x,x,x,x,"Federally qualified health center that provides primary care, vision, dental, and behavioral health services.",,
156,Maui,Maui County Office on Aging/Aging and Disability Resource Center,County Agency,Device Availability; Digital Navigators; Online Privacy & Cybersecurity; Digital LIteracy,1,1,,1,1,1,x,1,x,"Links seniors, caregivers and adults with disabilities to services and other programs to help them lead dignified and meaningful lives in their homes for as long as possible. Outreach and education.",https://www.mauicountyadrc.org/,"J Walter Cameron Center 95 Mahalani Street, Room 20  Wailuku HI  96793"
157,Maui,Maui County Workforce Development,County Agency,Broadband Availability; Device Availability; Online Access; Digital Literacy,x,x, ,x,x, ,x,x,x,"Internet or computer access at your location, Entry-level (basic skills and software/hardware introduction), Intermediate (Google suite, commonly used platforms), Advanced (coding, website/graphic design, video editing)",https://www.mauicounty.gov/202/Workforce-Development-Board,
158,Maui,Maui Digital Bus,Non-profit,"Broadband Availability, Device Availability, Digital Literacy",x,,,,,x,x,1,x,"A mobile science, technology, and 'Ike Hawai'i classroom equipped with devices and Internet access designed to supplement curriculum to the students of Maui.",https://www.digitalbus.org/,"590 Lipoa Pkwy, Suite 272  Kihei HI 96753"
159,Maui,Maui Digital Equity Coalition,County Initiative,Broadband Availability & Affordability; Device Availability; Digital Navigators; Online Privacy & Cybersecurity; Digital LIteracy; Device Availability & Affordability,1,1,1,1,1,1,1,1,1,"A collection of Maui County partners who stive to bridge the digital divide across the three islands of the county, creating a network of of partners committed to achieving digital equity within the lāhui (community).",,"200 South High Street, 9th Floor  Wailuku HI  96793"
160,Maui,Maui Economic Opportunity -  Enlace Hispano Program,Non-profit,Language Translation & Access to Information,x,x,,,,1,1,1,,"Bilingual professionals assist the Hispanic community with translation, workforce development, integration services, and case management. ",https://www.meoinc.org/programs-services/community-services/enlace-hispano/,"99 Mahalani Street
Wailuku, HI 96793"
161,Maui,Maui Family YMCA,Non-profit,Broadband Availability,1,1,1,1,1,1,1,1,1,"Provides public Wi-Fi access at all hours, allowing houseless to access the Internet.",https://www.mauiymca.org/,"250 Kanaloa Avenue, Kahului, HI 96732"
162,Maui,Maui High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.mauihigh.org,"660 South Lono Avenue, Kahului, HI 96732"
163,Maui,Maui Waena Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.mauiwaena.com,"795 Onehee Street, Kahului, HI 96732"
164,Maui,Nahienaena Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://www.nahienaena.k12.hi.us,"816 Niheu Street, Lahaina, HI 96761"
165,Maui,Paia Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://paiaelementary.com,"955 Baldwin Avenue, Paia, HI 96779"
166,Maui,Pomaikai Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://pomaikai.k12.hi.us,"4650 S. Kamehameha Avenue, Kahului, HI 96732"
167,Maui,Pukalani Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.pukalanies.k12.hi.us,"2945 Iolani Street, Pukalani, HI 96768"
168,Maui,Puu Kukui Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://puukukui.k12.hi.us,"3700 Kehalani Mauka Parkway, Wailuku, HI 96793"
169,Maui,Roots Reborn,Coalition,Digital Literacy,,1,,,1,1,1,1,1,"Translation services provided in this multilingual hub for immigrants (predominantly Ilocano, Tagalog, Spanish) impacted by Maui wildfires, connecting them to whatever aid and resources they qualify for during the long rebuilding process. ",https://www.rootsreborn.org/,
170,Maui,State of Hawaii Department of Vocational Rehabilitation - Maui Branch,State Agency,Device Availability & Affordability; Broadband Availability; Digital Literacy,x,,x,x,1,x,,x,x,"Program for persons with disabilities who require assistance to prepare for, secure, retain or regain employment. Provides a rehabilitation worker who specializes in job training and job placement. May provide assistive technology and training depending on the skills needed for employment.",https://humanservices.hawaii.gov/vr/contact-vr/,"54 So. High St., #309
Wailuku, HI 96793"
171,Maui,UH-Maui College Continuing Education program,Higher Education,Digital Literacy,1,1,1,1,1,1,1,1,1,Computer classes offered to the public for a fee. ,https://elwd.maui.hawaii.edu/,"310 W. Kaahumanu Avenue
Kahului, HI 96732"
172,Maui,Waihee Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.waihee.k12.hi.us,"2125 Kahekili Highway, Wailuku, HI 96793"
173,Maui,Wailuku Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Baldwin-Kekaulike-Maui complex area.,https://www.wailuku.k12.hi.us,"355 South High Street, Wailuku, HI 96793"
174,Maui,Wailuku Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,One of the 51 branches of the Hawaii State Public Library System. Offers connectivity to devices and the internet and opportunities for the digital literacy skills they need to be successful. Operates the Maui Holoholo Bookmobile which provides free mobile Wi-Fi across the island.,https://www.librarieshawaii.org/,"251 S High St, Wailuku, HI 96793, United States"
175,Maui ,Nā Moku Aupuni O Koʻolau Hui,Non-profit,Broadband Availability,x,x,,,,1,,1,1,"To educate, perpetuate, serve and protect historical, spiritual, traditional, & environmental well being of Keʻanae/Wailuanui. Members are lineal descendants/current residents, provides WiFi hub in Keanae",https://www.namoku.net/what-we-do,
176,Molokaʻi,Kaunakakai Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://www.kaunakakaielementary.org,"30 Ailoa St, Kaunakakai, HI 96748"
177,Molokaʻi,Kilohana Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://www.kilohana.k12.hi.us,"7253 Kamehameha V Hwy, Kaunakakai, HI 96748"
178,Molokaʻi,Kualapuu Elementary PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://www.kualapuucharterschool.org,"260 Farrington Avenue, Kualapuu, HI 96757"
179,Molokaʻi,Maui County Area Health Education Center,Health Center,Broadband Availability; Device Availability,x,x, ,x,x,,x,x,x,"Internet or computer access at your location, Entry-level (basic skills and software/hardware introduction)",https://www.ahec.hawaii.edu/huli-au-ola-area-health-education-center-maui-county/,"P.O. Box 399
Kaunakakai, HI 96748"
180,Molokaʻi,Maunaloa Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://maunaloa-elementary-school.weebly.com,"128 Maunaloa Rd, Maunaloa, HI 96770"
181,Molokaʻi,Molokaʻi Digital Bus,Non-profit,"Broadband Availability, Device Availability, Digital Literacy",x,,,,,x,x,1,x,"A mobile science, technology, and 'Ike Hawai'i classroom equipped with devices and Internet access designed to supplement curriculum to the students of Moloka'i.",https://www.digitalbus.org/,
182,Molokaʻi,Molokaʻi High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://www.molokaihighschool.org,"2140 Farrington Avenue, Hoolehua, HI 96729"
183,Molokaʻi,Molokaʻi Homestead Farmers Alliance,Non-profit,Digital Literacy for Farming,x,,,,,,,x,x,"The Alliance provides opportunities for farmers to learn about farming and expand their homestead knowledge, including marketing, networking, media technology, and distribution, among others. ",https://www.Molokaʻihfa.com/,"2200 Farrington Avenue
Hoolehua, HI 96729"
184,Molokaʻi,Molokaʻi Middle,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hana-Lahainaluna-Lānaʻi-Molokaʻi complex area.,https://www.molokaimiddle.org,"2175 Lihipali Avenue, Hoolehua, HI 96729"
